molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL404134,O=C(O)CC1S/C(=N\N=C\c2ccc(F)cc2)N(c2ccccc2)C1=O,50000.0,nM,IC50,4.30,Toxoplasma gondii,organism-based format
CHEMBL253105,O=C(O)CC1S/C(=N\N=C\c2ccccc2F)N(c2ccccc2)C1=O,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL404133,Cc1cccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)c1,1000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL253516,O=C(O)CC1S/C(=N\N=C\c2ccc(Cl)c(Cl)c2)N(c2ccccc2)C1=O,1500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL402358,O=C(O)CC1S/C(=N\N=C\c2ccc(Cl)cc2Cl)N(c2ccccc2)C1=O,1500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL402145,O=C(O)CC1S/C(=N\N=C\c2ccc(Cl)cc2)N(c2ccccc2)C1=O,1500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL253099,O=C(O)CC1S/C(=N\N=C\c2ccccc2)N(c2ccccc2)C1=O,4000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL403118,CC(C)(C)c1cc(/C=N/NC(=S)Nc2ccccc2)cc(C(C)(C)C)c1O,5000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL403229,COc1cc(/C=N/NC(=S)Nc2ccccc2)cc(OC)c1OC,3000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL254322,COc1ccc(/C=N/NC(=S)Nc2ccccc2)c(OC)c1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL252966,COc1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL254313,COc1cccc(/C=N/NC(=S)Nc2ccccc2)c1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL254121,Cc1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,4000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL254120,S=C(N/N=C/c1cccc(Cl)c1)Nc1ccccc1,7000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL254119,CN(C)c1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL253917,COc1cc(/C=N/NC(=S)Nc2ccccc2)ccc1O,1000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL253916,Fc1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL403382,Fc1ccccc1/C=N/NC(=S)Nc1ccccc1,1500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL403381,Cc1cccc(/C=N/NC(=S)Nc2ccccc2)c1,5000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL403079,S=C(N/N=C/c1ccc(Cl)c(Cl)c1)Nc1ccccc1,5000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL251897,S=C(N/N=C/c1ccc(Cl)cc1Cl)Nc1ccccc1,2000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL251896,S=C(N/N=C/c1ccc(Cl)cc1)Nc1ccccc1,7000000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL408745,CCCNCC(P(=O)(O)O)P(=O)(O)O,6330.0,nM,IC50,5.20,Toxoplasma gondii,organism-based format
CHEMBL259786,O=P(O)(O)C(CNN1CCCCC1)P(=O)(O)O,70600.0,nM,IC50,4.15,Toxoplasma gondii,organism-based format
CHEMBL258541,O=P(O)(O)C(CNN1CCCC1)P(=O)(O)O,13300.0,nM,IC50,4.88,Toxoplasma gondii,organism-based format
CHEMBL258540,CC(C)CNCC(P(=O)(O)O)P(=O)(O)O,74470.0,nM,IC50,4.13,Toxoplasma gondii,organism-based format
CHEMBL262598,CCC(C)NCC(P(=O)(O)O)P(=O)(O)O,100000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL407221,CC(C)NCC(P(=O)(O)O)P(=O)(O)O,69810.0,nM,IC50,4.16,Toxoplasma gondii,organism-based format
CHEMBL261432,O=P(O)(O)C(CNC1CCCCC1)P(=O)(O)O,57300.0,nM,IC50,4.24,Toxoplasma gondii,organism-based format
CHEMBL405827,CC(C)(C)NCC(P(=O)(O)O)P(=O)(O)O,42840.0,nM,IC50,4.37,Toxoplasma gondii,organism-based format
CHEMBL261562,CC(C)CCNCC(P(=O)(O)O)P(=O)(O)O,36940.0,nM,IC50,4.43,Toxoplasma gondii,organism-based format
