molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL414908,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C=C\c2ccccc2)[C@@]23C(CC1(C)C)[C@]1(CCC4[C@@]5(C)CC[C@H](O[C@@H]6OC(C(=O)O)[C@@H](O)C(O[C@@H]7OC(CO)[C@H](O)C(O)[C@@H]7OC7O[C@@H](C)C(O)[C@H](O)C7OC7O[C@@H](C)[C@H](O)C(O)[C@@H]7O)[C@@H]6O[C@@H]6OC(CO)[C@@H](O)C(O)[C@@H]6O)C(C)(C)C5CC[C@@]4(C)[C@]1(C)C[C@H]2O)O[C@@H]3O,0.023,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL263931,C[C@@H]1OC(O[C@H]2C(O)[C@@H](O)C(CO)O[C@H]2OC2[C@H](O)C(C(=O)O)O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC[C@]46O[C@H](O)[C@]7(C4CC(C)(C)[C@@H](OC(=O)c4ccccc4)[C@@H]7OC(=O)/C=C/c4ccccc4)[C@H](O)C[C@]65C)C3(C)C)[C@H]2O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)C(OC2O[C@@H](C)[C@H](O)C(O)[C@@H]2O)[C@@H](O)C1O,0.007,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL411240,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C=C/c2ccccc2)[C@@]23C(CC1(C)C)[C@]1(CCC4[C@@]5(C)CC[C@H](O[C@@H]6OC(C(=O)O)[C@@H](O)C(O[C@@H]7OC(CO)[C@H](O)C(O)[C@@H]7OC7O[C@@H](C)C(O)[C@H](O)C7OC7O[C@@H](C)[C@H](O)C(O)[C@@H]7O)[C@@H]6O[C@@H]6OC(CO)[C@@H](O)C(O)[C@@H]6O)C(C)(C)C5CC[C@@]4(C)[C@]1(C)C[C@H]2O)O[C@@H]3O,0.014,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL437811,CC(=O)O[C@@H]1C[C@]2(C)[C@@]3(CCC4[C@@]5(C)CC[C@H](O[C@@H]6OC(C(=O)O)[C@@H](O)C(O[C@@H]7OC(CO)[C@H](O)C(O)[C@@H]7OC7O[C@@H](C)C(O)[C@H](O)C7OC7O[C@@H](C)[C@H](O)C(O)[C@@H]7O)[C@@H]6O[C@@H]6OC(CO)[C@@H](O)C(O)[C@@H]6O)C(C)(C)C5CC[C@]42C)O[C@H](O)[C@]12C3CC(C)(C)[C@@H](OC(=O)c1ccccc1)[C@@H]2OC(=O)/C=C/c1ccccc1,0.046,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL405516,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C=C/c2ccccc2)[C@@]23C(CC1(C)C)[C@]1(CCC4[C@@]5(C)CC[C@H](O[C@@H]6OC(C(=O)O)[C@@H](O)C(O[C@@H]7OC(CO)[C@H](O)C(O)[C@@H]7OC7O[C@@H](C)C(O)[C@H](O)C7OC7O[C@@H](C)[C@H](O)C(O)[C@@H]7O)[C@@H]6O[C@@H]6OC(CO)[C@@H](O)C(O)[C@@H]6O)C(C)(C)C5CC[C@@]4(C)[C@]1(C)C[C@H]2OC(C)=O)O[C@@H]3O,0.041,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL269535,C[C@@H]1OC(O[C@H]2C(O)[C@@H](O)C(CO)O[C@H]2OC2[C@H](O)C(C(=O)O)O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC[C@]46O[C@H](O)[C@]7(C4CC(C)(C)[C@@H](O)[C@@H]7O)[C@H](O)C[C@]65C)C3(C)C)[C@H]2O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)C(OC2O[C@@H](C)[C@H](O)C(O)[C@@H]2O)[C@@H](O)C1O,32.0,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL429718,C[C@@H]1OC(O[C@H]2C(O)[C@@H](O)C(CO)O[C@H]2OC2[C@H](O)C(C(=O)O)O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC[C@]46O[C@H](O)[C@]7(C4CC(C)(C)[C@@H](OC(=O)c4ccccc4)[C@@H]7OC(=O)CCc4ccccc4)[C@H](O)C[C@]65C)C3(C)C)[C@H]2O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)C(OC2O[C@@H](C)[C@H](O)C(O)[C@@H]2O)[C@@H](O)C1O,0.009,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL439103,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)CCc2ccccc2)[C@@]23C(CC1(C)C)[C@]1(CCC4[C@@]5(C)CC[C@H](O[C@@H]6OC(C(=O)O)[C@@H](O)C(O[C@@H]7OC(CO)[C@H](O)C(O)[C@@H]7OC7O[C@@H](C)C(O)[C@H](O)C7OC7O[C@@H](C)[C@H](O)C(O)[C@@H]7O)[C@@H]6O[C@@H]6OC(CO)[C@@H](O)C(O)[C@@H]6O)C(C)(C)C5CC[C@@]4(C)[C@]1(C)C[C@H]2O)O[C@@H]3O,0.018,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL179639,CC1(C)CC2C3=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]4(C)[C@]3(C)C[C@@H](O)[C@@]2(C=O)[C@@H](OC(=O)/C=C\c2ccccc2)[C@@H]1OC(=O)c1ccccc1,32.0,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL178910,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C=C\c2ccccc2)[C@@]2(C=O)C(CC1(C)C)C1=CCC3[C@@]4(C)CC[C@H](O)C(C)(C)C4CC[C@@]3(C)[C@]1(C)C[C@H]2O,22.0,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL361584,CC1(C)CC2C3=CCC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]4(C)[C@]3(C)C[C@@H](O)[C@@]2(C=O)[C@@H](OC(=O)/C=C/c2ccccc2)[C@@H]1OC(=O)c1ccccc1,8.0,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL360760,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C=C/c2ccccc2)[C@@]2(C=O)C(CC1(C)C)C1=CCC3[C@@]4(C)CC[C@H](O)C(C)(C)C4CC[C@@]3(C)[C@]1(C)C[C@H]2O,32.0,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL360982,CC(=O)O[C@@H]1C[C@]2(C)C(=CCC3[C@@]4(C)CC[C@H](O)C(C)(C)C4CC[C@]32C)C2CC(C)(C)[C@@H](OC(=O)c3ccccc3)[C@H](OC(=O)/C=C/c3ccccc3)[C@@]21C=O,32.0,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL361001,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C=C/c2ccccc2)[C@@]2(C=O)C(CC1(C)C)C1=CCC3[C@@]4(C)CC[C@H](O)C(C)(C)C4CC[C@@]3(C)[C@]1(C)C[C@H]2OC(C)=O,32.0,ug.mL-1,IC50,,Leishmania infantum,organism-based format
CHEMBL208745,CC(=O)OCCSSCCOP(=O)(OCCSSCCOC(C)=O)Oc1ccc(O)c(C=O)c1,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL208713,CC(C)(C)C(=O)SCCOP(=O)(OCCSC(=O)C(C)(C)C)Oc1ccc(O)c(C=O)c1,25000.0,nM,IC50,4.60,Leishmania infantum,organism-based format
CHEMBL210961,CC(=O)Oc1ccccc1CCC(=O)OCOP(=O)(OCOC(=O)CCc1ccccc1OC(C)=O)Oc1ccc(O)c(C=O)c1,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL209085,CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)Oc1ccc(O)c(C=O)c1,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL379972,O=Cc1cc(OP(=O)([O-])[O-])ccc1O.[Na+].[Na+],50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL224170,CCCc1nc2ccccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL223126,CCCc1nc2cc(OC)ccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL389038,C/C=C/c1nc2ccccc2n2cccc12,700.0,nM,IC50,6.16,Leishmania infantum,organism-based format
CHEMBL224378,C/C=C/c1ccc2ccccc2n1,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format
CHEMBL390988,CCCCC#Cc1nc2cc(OC)ccc2n2cccc12,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format
CHEMBL223123,CCCCC#Cc1nc2ccccc2n2cccc12,25000.0,nM,IC50,4.60,Leishmania infantum,organism-based format
CHEMBL374957,C=Cc1nc2ccccc2n2cccc12,500.0,nM,IC50,6.30,Leishmania infantum,organism-based format
CHEMBL224638,C/C=C\c1nc2ccccc2n2cccc12,800.0,nM,IC50,6.10,Leishmania infantum,organism-based format
CHEMBL223904,C[C@H]1O[C@H]1c1nc2ccccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL390772,C[C@@H]1O[C@H]1c1nc2ccccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL224115,COc1ccc2c(c1)nc(/C=C/c1ccccc1)c1cccn12,5000.0,nM,IC50,5.30,Leishmania infantum,organism-based format
CHEMBL224774,C(=C/c1nc2ccccc2n2cccc12)\c1ccccc1,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL389678,c1ccc(-c2nc3ccccc3n3cccc23)cc1,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL224458,C1=C(c2nc3ccccc3n3cccc23)CCCC1,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL223903,COc1ccc(CCc2nc3ccccc3n3cccc23)cc1OC,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL390612,c1ccc2c(c1)nc(CCc1ccc3c(c1)OCO3)c1cccn12,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL427095,CCC/C=C/c1nc2ccc(OC)cc2n2cccc12,2500.0,nM,IC50,5.60,Leishmania infantum,organism-based format
CHEMBL225145,CCC/C=C/c1nc2cc(OC)ccc2n2cccc12,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format
CHEMBL223401,CCC/C=C/c1nc2ccccc2n2cccc12,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format
CHEMBL223400,CCCCCc1nc2cc(OC)ccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL224862,CCCCCc1nc2ccccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL224861,C/C=C/c1nc2ccc(OC)cc2n2cccc12,500.0,nM,IC50,6.30,Leishmania infantum,organism-based format
CHEMBL224860,C/C=C/c1nc2cc(OC)ccc2n2cccc12,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format
CHEMBL266285,c1ccc2cc(CCCNCCCCNCCCNCCCc3ccc4ccccc4c3)ccc2c1,470.0,nM,IC50,6.33,Leishmania infantum,organism-based format
