molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL4920023,Cc1n(CC(=O)c2ccccc2)c2ccccc2[n+]1CC(=O)c1ccccc1,1050.0,nM,IC50,5.98,Schistosoma mansoni,organism-based format,True
CHEMBL4998890,CC(C)Nc1nc2nonc2n2cnnc12,1950.0,nM,IC50,5.71,Schistosoma mansoni,organism-based format,True
CHEMBL4955147,CCOC(=O)c1cn(CC)c2cc(NC3CCCCC3)c(F)cc2c1=O,724.4,nM,IC50,6.14,Schistosoma mansoni,organism-based format,True
CHEMBL5019621,CC(=O)Nc1ccc(-c2cn3c4ccccc4ccc3[n+]2C)cc1,489.8,nM,IC50,6.31,Schistosoma mansoni,organism-based format,True
CHEMBL1619097,CCc1ccc(/C=C/c2c[nH]c3ccccc23)[n+](CC)c1,263.0,nM,IC50,6.58,Schistosoma mansoni,organism-based format,True
CHEMBL4920363,c1cc(-c2nc3cc4ccccc4cc3[nH]2)nc(-c2nc3cc4ccccc4cc3[nH]2)c1,512.9,nM,IC50,6.29,Schistosoma mansoni,organism-based format,True
CHEMBL4969435,CN(C(=O)C(C)(C)Nc1ncc(C(F)(F)F)cc1Cl)c1ccc(Cl)cc1,3550.0,nM,IC50,5.45,Schistosoma mansoni,organism-based format,True
CHEMBL1619446,c1ccc(CCNc2nc(-c3ccccn3)cs2)cc1,2450.0,nM,IC50,5.61,Schistosoma mansoni,organism-based format,True
CHEMBL4969354,Cc1ccc(N2C(=O)C[C@]3(CC3(c3ccccc3)c3ccccc3)C2=O)cc1,1510.0,nM,IC50,5.82,Schistosoma mansoni,organism-based format,True
CHEMBL4974285,O=C(NC1=NN2C(=NC(c3ccc(Cl)cc3)=C[C@H]2c2ccc(F)cc2)N1)c1ccc(Cl)cc1,2290.0,nM,IC50,5.64,Schistosoma mansoni,organism-based format,True
CHEMBL5027626,O=C(COc1ccccc1)Nc1ccc2c(c1)C(O)=Nc1cccnc1O2,1740.0,nM,IC50,5.76,Schistosoma mansoni,organism-based format,True
CHEMBL4986979,COc1cccc(-c2nc(C)c(C(=O)Nc3nc(C(C)C)n[nH]3)s2)c1,1480.0,nM,IC50,5.83,Schistosoma mansoni,organism-based format,True
CHEMBL4936230,CCCCCn1c(NCc2cc(Cl)ccc2O)nc2ccccc21,3630.0,nM,IC50,5.44,Schistosoma mansoni,organism-based format,True
CHEMBL4901905,COc1ccc2c(/C=C/c3cc[n+](C)cc3)cn(Cc3ccccc3)c2c1,1170.0,nM,IC50,5.93,Schistosoma mansoni,organism-based format,True
CHEMBL4902170,CC(C)C(=O)Nc1ccc(-c2cc(-c3ccc(NC(=O)C(C)C)cc3)nc(-c3ccncc3)n2)cc1,4680.0,nM,IC50,5.33,Schistosoma mansoni,organism-based format,True
CHEMBL4961462,Nc1c(-c2nc3ccccc3[nH]2)c2nc3ccccc3nc2n1Cc1ccccc1F,251.0,nM,IC50,6.60,Schistosoma mansoni,organism-based format,True
CHEMBL4902767,CCC(C)NCC(O)Cn1c(-c2ccccc2)c(-c2ccccc2)c2cc(C)ccc21,1020.0,nM,IC50,5.99,Schistosoma mansoni,organism-based format,True
CHEMBL4903184,Clc1ccc(COc2ccc(Cl)cc2CNCCCn2ccnc2)c(Cl)c1,1410.0,nM,IC50,5.85,Schistosoma mansoni,organism-based format,True
CHEMBL5001025,Clc1ccc(Cn2cc(CNCCCn3ccnc3)c3ccccc32)c(Cl)c1,741.0,nM,IC50,6.13,Schistosoma mansoni,organism-based format,True
CHEMBL4953893,CCC1=Nc2ccccc2N=C(NC(=O)C(C)C)[C@H]1c1ccc(F)cc1,2450.0,nM,IC50,5.61,Schistosoma mansoni,organism-based format,True
CHEMBL4991368,Cc1ccc(S(=O)(=O)Nc2cc3nc4ccccc4nc3n2CCc2ccccc2)cc1,2340.0,nM,IC50,5.63,Schistosoma mansoni,organism-based format,True
CHEMBL4966941,C[N+]1(CCCC(=O)c2ccc3c(c2)OCCO3)CCC(c2ccccc2)C1,2570.0,nM,IC50,5.59,Schistosoma mansoni,organism-based format,True
CHEMBL4915187,COc1ccc(C(=O)N2c3ncnn3C(c3ccccc3)CC2c2ccc(C)cc2)cc1OC,457.0,nM,IC50,6.34,Schistosoma mansoni,organism-based format,True
CHEMBL4903337,COc1cc(CNCCCN2CCOCC2)ccc1OCc1ccc(Cl)cc1,2880.0,nM,IC50,5.54,Schistosoma mansoni,organism-based format,True
CHEMBL4990318,CCc1c2c(=O)n(-c3nc4ccccc4s3)[nH]c2cc(=O)n1CCCN1CCOCC1,4570.0,nM,IC50,5.34,Schistosoma mansoni,organism-based format,True
CHEMBL4994277,O=C(CN1C=CCC=C1c1nc(-c2ccc(Br)cc2)cs1)c1ccccc1,2630.0,nM,IC50,5.58,Schistosoma mansoni,organism-based format,True
CHEMBL4958948,COc1ccc(C(=O)CN2C=CCC=C2c2nc(-c3ccc(Cl)cc3)cs2)cc1,2140.0,nM,IC50,5.67,Schistosoma mansoni,organism-based format,True
CHEMBL5016777,CNCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,1700.0,nM,IC50,5.77,Schistosoma mansoni,organism-based format,True
CHEMBL4979636,C[C@H]1CCCN(c2nc(-c3ccccn3)nc3ccccc23)C1,468.0,nM,IC50,6.33,Schistosoma mansoni,organism-based format,True
CHEMBL5020058,COc1ccc(-c2c(C(F)(F)F)n[nH]c2-c2ccc(OCc3ccccc3F)cc2O)cc1,1660.0,nM,IC50,5.78,Schistosoma mansoni,organism-based format,True
CHEMBL4984628,CC(C)CC[C@@H](CCNCCN(C)C)c1ccc(Cl)cc1,562.0,nM,IC50,6.25,Schistosoma mansoni,organism-based format,True
CHEMBL4929596,CC(C)CC[C@@H](CCNC1CCN(C)CC1)c1ccc(Cl)cc1,1660.0,nM,IC50,5.78,Schistosoma mansoni,organism-based format,True
CHEMBL4937057,CN1CCC(NCC[C@@H](Cc2ccccc2Cl)c2ccc(Cl)cc2)CC1,1510.0,nM,IC50,5.82,Schistosoma mansoni,organism-based format,True
CHEMBL5001623,CC(NCC(O)Cn1c(-c2ccccc2)c(-c2ccccc2)c2ccc3ccccc3c21)c1ccccc1,1620.0,nM,IC50,5.79,Schistosoma mansoni,organism-based format,True
CHEMBL4995487,Cc1c(C)n(CC(O)CNC(C)c2ccccc2)c2c(Cl)cccc12,2000.0,nM,IC50,5.70,Schistosoma mansoni,organism-based format,True
CHEMBL4916529,Brc1cccc(-c2ccc(-c3cc(-c4ccccc4)nnc3-c3ccccc3)o2)c1,6610.0,nM,IC50,5.18,Schistosoma mansoni,organism-based format,True
CHEMBL4941390,O=C(CCn1c(=O)[nH]c2ccsc2c1=O)NCc1ccccc1,9120.0,nM,IC50,5.04,Schistosoma mansoni,organism-based format,True
CHEMBL4951544,COc1cc2ncc3c(-c4ccc(C)c(C)c4)n[nH]c3c2cc1OC,4270.0,nM,IC50,5.37,Schistosoma mansoni,organism-based format,True
CHEMBL4984611,FC(F)Oc1ccc(-c2c[n+](-c3cccc(C(F)(F)F)c3)c3n2CCCCC3)cc1,2450.0,nM,IC50,5.61,Schistosoma mansoni,organism-based format,True
CHEMBL4914675,CCOc1ccc(-[n+]2cc(-c3ccccc3)n3c2CCC3)cc1,831.8,nM,IC50,6.08,Schistosoma mansoni,organism-based format,True
CHEMBL4976730,N#Cc1c(NC(=O)Nc2cn3ccccc3c2C#N)cn2ccccc12,302.0,nM,IC50,6.52,Schistosoma mansoni,organism-based format,True
CHEMBL4892667,COc1ccc2c(c1)[n+](CC(=O)c1ccc(-c3ccc(Br)cc3)cc1)c(CO)n2C,1910.0,nM,IC50,5.72,Schistosoma mansoni,organism-based format,True
CHEMBL4962574,Cc1c(-c2nn(-c3nc(C4CC4)cc(C(F)(F)F)n3)c(-c3cnn(C)c3C)c2Cl)cnn1C,1100.0,nM,IC50,5.96,Schistosoma mansoni,organism-based format,True
CHEMBL5026600,Cc1cc(C)n(-c2nc(Nc3ccc(Cl)cc3)nc(Nc3ccc(Cl)cc3)n2)n1,2190.0,nM,IC50,5.66,Schistosoma mansoni,organism-based format,True
CHEMBL4982266,CC(=O)N(C1CCN(Cc2ccccc2)CC1)C1(C(=O)Nc2ccc3[nH]ccc3c2)CCN(C)CC1,1660.0,nM,IC50,5.78,Schistosoma mansoni,organism-based format,True
CHEMBL4915836,COc1ccc(-n2ncc3c(N)c4c(nc32)CCCC4=O)cc1,6610.0,nM,IC50,5.18,Schistosoma mansoni,organism-based format,True
CHEMBL4971286,c1ccc(-c2cn3c(n2)c(-c2ccc4ccccc4n2)cc2ccccc23)cc1,8130.0,nM,IC50,5.09,Schistosoma mansoni,organism-based format,True
CHEMBL4913908,Clc1ccc(C[n+]2ccc(-c3nc4ccccc4o3)cc2)c(Cl)c1,575.4,nM,IC50,6.24,Schistosoma mansoni,organism-based format,True
CHEMBL4988627,Cc1ccc(N2C(=O)c3ccccc3[C@@H]2c2c[nH]c3ccccc23)cc1,2630.0,nM,IC50,5.58,Schistosoma mansoni,organism-based format,True
CHEMBL5013968,COc1ccc(NC(=O)C2(N(Cc3ccccc3)C(=O)Cn3nnc4ccccc43)CCCCC2)cc1,4470.0,nM,IC50,5.35,Schistosoma mansoni,organism-based format,True
CHEMBL4941958,O=C(Nc1onc2c1CCC2)c1ccc2ccccc2c1,2820.0,nM,IC50,5.55,Schistosoma mansoni,organism-based format,True
CHEMBL4915728,COc1ccc(OC)c(NC(=O)CN2CCc3[nH]c4ccc(F)cc4c(=O)c3C2)c1,8320.0,nM,IC50,5.08,Schistosoma mansoni,organism-based format,True
CHEMBL4890001,Cc1ccc(OCC(=O)Nc2cc(C)nn2-c2nc3c(cnn3-c3ccc(C)c(C)c3)c(=O)[nH]2)cc1,2090.0,nM,IC50,5.68,Schistosoma mansoni,organism-based format,True
CHEMBL4917697,Cc1ccnc(Nc2ccc(N3CCNCC3)nn2)c1,1620.0,nM,IC50,5.79,Schistosoma mansoni,organism-based format,True
CHEMBL4982613,Cc1ccc(Nc2ccc(N3CCNCC3)nn2)nc1,1580.0,nM,IC50,5.80,Schistosoma mansoni,organism-based format,True
CHEMBL5002873,COc1ccc(C)c2sc(N(CCCn3ccnc3)C(=O)Cc3ccc(F)cc3)nc12,1950.0,nM,IC50,5.71,Schistosoma mansoni,organism-based format,True
CHEMBL4909580,Cc1cc(NC(=O)C(=O)NC2CC(C)CC(C)(C)C2)n(-c2nc3c(c(=O)[nH]2)CCC3)n1,1150.0,nM,IC50,5.94,Schistosoma mansoni,organism-based format,True
CHEMBL4936536,CCOc1ccc2ccccc2c1C(=O)Nc1cc(C)nn1-c1nc2c(c(=O)[nH]1)CCC2,588.8,nM,IC50,6.23,Schistosoma mansoni,organism-based format,True
CHEMBL4907878,COc1ccc(Nc2nnc(-c3ccc(NC(=O)C(=O)NCCCn4ccnc4)cc3)s2)cc1,1290.0,nM,IC50,5.89,Schistosoma mansoni,organism-based format,True
CHEMBL4999196,Cc1cc(=O)[nH]c(-n2nc(C3CC3)cc2NC(=O)c2ccc(C(C)(C)C)cc2)n1,1860.0,nM,IC50,5.73,Schistosoma mansoni,organism-based format,True
CHEMBL4995037,COc1ccc(Cl)cc1C(=O)Nc1cc(C2CC2)nn1-c1nc(C)cc(=O)[nH]1,1780.0,nM,IC50,5.75,Schistosoma mansoni,organism-based format,True
CHEMBL4892340,Cc1cc(=O)[nH]c(-n2nc(C3CC3)cc2NC(=O)C(C)(C)Oc2ccc(Cl)cc2)n1,1100.0,nM,IC50,5.96,Schistosoma mansoni,organism-based format,True
CHEMBL4947465,Cc1cc(=O)[nH]c(-n2nc(C3CC3)cc2NC(=O)C(c2ccccc2)c2ccccc2)n1,955.0,nM,IC50,6.02,Schistosoma mansoni,organism-based format,True
CHEMBL4920334,CC(C)c1cc(=O)[nH]c(-n2nc(C3CC3)cc2NC(=O)c2ccc(F)cc2)n1,707.9,nM,IC50,6.15,Schistosoma mansoni,organism-based format,True
CHEMBL4961823,CC(C)c1cc(=O)[nH]c(-n2nc(C3CC3)cc2NC(=O)COc2ccc3ccccc3c2)n1,1620.0,nM,IC50,5.79,Schistosoma mansoni,organism-based format,True
CHEMBL5001349,CCC(CC)C(=O)Nc1cc(C2CC2)nn1-c1nc(-c2ccccc2)cc(=O)[nH]1,2140.0,nM,IC50,5.67,Schistosoma mansoni,organism-based format,True
CHEMBL5024141,O=C(CCCc1ccccc1)Nc1cc(C2CC2)nn1-c1nc(-c2ccccc2)cc(=O)[nH]1,3720.0,nM,IC50,5.43,Schistosoma mansoni,organism-based format,True
CHEMBL4924509,S=c1cc(-c2ccccc2)n(Cc2ccco2)c2c1CCCC2,2570.0,nM,IC50,5.59,Schistosoma mansoni,organism-based format,True
CHEMBL1542567,Cn1c(N)c(S(=O)(=O)N2CCN(c3ccccc3Cl)CC2)c(=O)n(C)c1=O,1510.0,nM,IC50,5.82,Schistosoma mansoni,organism-based format,True
CHEMBL4968838,C[C@H](N)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,1100.0,nM,IC50,5.96,Schistosoma mansoni,organism-based format,True
